"pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"HS","2020","202001","January 2020","0","0","2","Exports","484","Mexico",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"33583715088",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","496","Mongolia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"458993626",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","498","Rep. of Moldova",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"219472150",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","499","Montenegro",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"34711527",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","504","Morocco",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"2638632097",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","516","Namibia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"479210674",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","528","Netherlands",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"48132509791",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","554","New Zealand",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"3122687462",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","558","Nicaragua",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"468973537",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","566","Nigeria",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"5559965520",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","579","Norway",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"8520010875",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","586","Pakistan",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"1984597420",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","600","Paraguay",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"487798924",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","604","Peru",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"3700567888",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","608","Philippines",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"5788774495",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","616","Poland",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"21260168933",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","620","Portugal",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"5696463566",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","634","Qatar",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"6136852868",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","642","Romania",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"6315587799",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","646","Rwanda",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"111588690",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","686","Senegal",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,"0",NA,"553186463",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","688","Serbia",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"1498287224",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","690","Seychelles",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"32548222",NA,NA,"0"
"HS","2020","202001","January 2020","0","0","2","Exports","699","India",NA,"0","World",NA,NA,"","","","","","","TOTAL","All Commodities",NA,NA,NA,"",NA,NA,NA,NA,"25773126437",NA,NA,"0"
